Entry,Progen2_medium_ll,Progen2_base_ll,Progen2_large_ll,Progen2_xlarge_ll,Progen2_BFD90_ll,ESM2_650M_pppl,ESM2_3B_pppl,ESM2_15B_pppl
Q9W2Y3,-1.335955977,-1.301983416,-1.286418617,-0.78992027,-1.130132318,-1.344381928,-1.277060781,-1.309320874
Q9W3W8,-1.12797296,-1.123399198,-0.996108979,-0.798533112,-1.110440493,-1.764840362,-1.551168082,-1.388206423
Q9W5R8,-0.975920498,-0.96222192,-0.847847462,-0.698494524,-0.865525663,-1.473088787,-1.098869546,-1.085253367
O16130,-1.081968218,-2.41637361,-1.205591261,-0.740424752,-1.031915426,-2.744726726,-2.723440395,-2.444060565
P18929,-0.688383281,-0.623942852,-0.650419533,-0.407345727,-0.585954159,-1.163405692,-1.010013642,-0.830562522
P18930,-0.905088782,-2.115746975,-0.831445307,-0.650693357,-0.740075946,-1.249084724,-1.097391556,-1.0043601
P18933,-1.154519677,-1.2094962,-1.212669194,-0.88689819,-1.0723629,-1.210057564,-1.070865025,-0.953269644
P18934,-1.040868521,-2.701380014,-1.024105072,-0.737022072,-0.89727211,-1.394122756,-1.339358942,-1.357427047
Q9VCC3,-2.379441381,-2.075234354,-2.836713314,-1.177133918,-1.610470057,-1.526611287,-0.872651292,-0.716143745
Q9VFB2,-2.397576213,-2.18704772,-2.173949838,-1.249755859,-1.838620901,-1.27936951,-1.199150412,-1.072691179
Q9VIV3,-2.753858924,-2.759187341,-2.783471465,-2.122261167,-2.700942516,-1.925633633,-1.610070369,-1.139021762
Q9VJC7,-2.239706993,-2.057664037,-2.289856315,-1.524143457,-2.030438006,-1.513022995,-1.398328484,-1.372025302
Q9VJY6,-1.080302954,-1.072008967,-0.894165426,-0.593185484,-0.906165838,-0.709906376,-0.459810036,-0.232702772
Q9VTP4,-0.817725629,-0.73403284,-0.730366796,-0.508015513,-0.712045848,-0.541941588,-0.491791001,-0.490116726
Q9VTU4,-1.943756163,-1.704961717,-1.718972325,-1.194064558,-1.625848591,-1.22358874,-0.931698113,-0.717400789
Q9W237,-0.657097369,-0.652070463,-0.649207115,-0.486406535,-0.631529182,-0.526269086,-0.446472158,-0.399649455
O42248,-0.289474532,-0.244712591,-0.29862532,-0.18413879,-0.257092081,-1.141167762,-0.41601544,-0.253798846
O73872,-0.941711158,-0.912950009,-0.944760442,-0.708462,-0.797902226,-1.072520457,-0.974126402,-1.000488843
Q2QCI8,-0.368736207,-0.38812235,-0.364102095,-0.194056742,-0.426495112,-1.34966914,-0.760489047,-0.415046585
Q5XJ10,-0.510283172,-0.494072869,-0.455131143,-0.32357876,-0.43477805,-1.214544046,-1.114504073,-1.064915428
Q6PI20,-0.169377066,-0.164563306,-0.171084493,-0.124029242,-0.153557993,-1.550915882,-1.264100893,-1.140920472
A5WVX0,-0.835274965,-0.838157922,-0.963810056,-0.624292582,-0.799992323,-1.328156569,-1.116550628,-1.104992077
B8A5G9,-1.635241151,-1.599886119,-1.746194065,-1.182841063,-1.463769853,-1.30686723,-1.215964012,-1.194031127
P83238,-3.195466876,-3.164402008,-3.179505348,-2.237928033,-3.129902959,-3.112499854,-1.3948514,-1.430628823
Q0VIA1,-1.311612487,-1.688952804,-1.750709832,-0.570011675,-0.982380062,-1.48849546,-1.273268922,-1.307866838
Q1RLY6,-1.125823975,-1.042199165,-1.048515648,-0.768499941,-0.935210407,-0.982048724,-0.748761885,-0.657866873
Q5RHZ6,-0.609968871,-0.626909852,-0.565866351,-0.386514813,-0.522602737,-1.276739687,-0.952499049,-0.847966573
Q5XJ57,-1.006062269,-0.922508538,-1.087687612,-0.690405399,-0.898106366,-1.382882917,-1.109893804,-1.001302084
Q6DHK1,-1.335817337,-1.235409498,-1.300135314,-1.057445347,-1.230936885,-1.47512956,-1.365352585,-1.411572442
Q6GMI7,-1.375334203,-1.311767578,-1.497992933,-0.692549318,-1.11203146,-1.128595275,-1.012924701,-0.821113141
Q6PBX5,-1.371366858,-1.349007487,-1.438588321,-0.981885344,-1.22973758,-1.097475667,-1.006564619,-1.06658156
Q6PCR7,-0.354176328,-0.35568881,-0.344708458,-0.211153321,-0.316140935,-0.62399301,-0.428797312,-0.341241331
Q6PFP6,-1.172035575,-1.129457176,-1.173731804,-0.771062732,-1.034516275,-1.049555761,-0.979847266,-0.918416734
Q6TNU4,-0.896076918,-0.865636975,-0.911460578,-0.431274146,-0.60919103,-1.408562728,-1.258659425,-1.148553352
Q7SXL3,-0.758041561,-0.746364594,-0.694362193,-0.392995536,-0.629566848,-1.394226937,-1.35987486,-1.299327117
Q7ZV96,-0.426429182,-0.450861976,-0.488739237,-0.277858868,-0.467491195,-0.378264053,-0.353308736,-0.332153658
Q803F6,-0.681420773,-0.70421648,-0.561463505,-0.482662678,-0.667329997,-1.854605239,-1.731799581,-1.61157737
Q8JGR6,-0.896850824,-0.81117171,-0.864041716,-0.532465279,-0.719352573,-2.068790392,-1.916850413,-1.745352189
Q8JGS0,-1.080955565,-1.088912249,-1.10679704,-0.734653115,-0.923772931,-0.83738569,-0.451918532,-0.29215404
Q8JHJ1,-0.683296502,-0.873761743,-0.669451445,-0.467280671,-0.637322634,-0.919435679,-0.710255259,-0.819498928
Q8JIU7,-0.49378036,-0.428998441,-0.486813664,-0.205543794,-0.322714418,-1.214439879,-0.848311308,-0.52243588
Q9MIY8,-0.251774073,-0.247368507,-0.238903001,-0.186726041,-0.231482454,-1.620035377,-1.56950405,-1.581447852
Q9PTP1,-0.814812362,-0.800273955,-0.806618184,-0.415976688,-0.696914732,-1.243439216,-1.147468396,-0.92479128
X1WER2,-0.97121042,-0.917603314,-0.869205683,-0.421642751,-0.681743771,-1.700027073,-1.471875499,-1.265286001
A0JMI9,-1.183092713,-1.092863023,-1.125757098,-0.73776722,-0.966865361,-1.575495309,-1.357450538,-1.184402539
A4IGH4,-2.094577551,-2.099905729,-2.136711121,-1.450054348,-1.875635326,-1.667363526,-1.405240646,-1.311636589
A4QN59,-1.878378034,-1.801945865,-2.05162853,-1.251903176,-1.498643875,-1.255754616,-1.086241737,-1.070512958
A5WUL3,-1.421360433,-1.357934654,-1.525288582,-1.078591943,-1.297969162,-1.180558307,-0.990996606,-0.86534472
A9JRE2,-1.173580766,-1.215164781,-1.280415595,-0.829796284,-1.057900369,-1.361429709,-1.218407271,-1.130186524
F1Q575,-1.061753124,-0.9690786,-1.122902691,-0.74622032,-0.915023148,-1.161879401,-1.064323932,-1.009189917
F1QAJ4,-1.27819258,-1.244922996,-1.196406245,-0.831448436,-1.013040841,-1.371964913,-1.068221665,-0.966381544
P61485,-0.23062256,-0.352518097,-0.259736888,-0.205810778,-0.245236881,-1.9732973,-1.840454869,-1.702195465
P62084,-0.346001357,-0.392641306,-0.387108088,-0.221344948,-0.32251665,-0.21499007,-0.184151082,-0.184887355
Q08BB1,-0.675219268,-0.70153442,-0.730303466,-0.507100463,-0.592540652,-1.472991359,-1.212421341,-1.123221889
Q1MTD3,-1.444512546,-1.463418007,-1.528396845,-1.051930487,-1.317226708,-1.142999897,-0.99513777,-0.852636033
Q567V6,-1.561609685,-1.233515412,-1.338679492,-0.405653894,-0.880594403,-0.651518354,-0.41545946,-0.332086879
Q567W6,-1.166755438,-1.165332258,-1.186739087,-0.852912158,-1.035639018,-1.853661845,-1.640862505,-1.66580737
Q5PQY6,-0.769258291,-0.692233145,-0.888588876,-0.336431876,-0.578158945,-1.548686956,-1.452374286,-1.340481226
Q5U3F2,-1.243435442,-1.136970997,-1.095651567,-0.628925443,-0.927053452,-1.562383805,-1.290864476,-1.146374
Q642H9,-0.4036531,-0.34511213,-0.40810363,-0.300793245,-0.384556711,-1.088959523,-0.732466882,-0.600161971
Q66I24,-0.815355957,-0.801384211,-0.805459321,-0.565271258,-0.638396502,-1.570047842,-1.212384919,-0.926064523
Q66I75,-0.970096976,-0.945229203,-0.905856401,-0.73952806,-0.861867487,-0.777447257,-0.642037801,-0.627234525
Q6DEI8,-1.184831083,-1.226816237,-1.302238166,-0.943933785,-1.222100377,-2.088373875,-1.996247238,-1.807758794
Q6DRC4,-1.084617764,-0.829164088,-0.83279556,-0.338573977,-0.598834515,-1.256310598,-0.958163984,-0.753380014
Q6GQN8,-1.324847341,-1.213330925,-1.284338474,-0.934952557,-1.174486756,-1.139375155,-1.08428273,-0.988327839
Q6IQM2,-0.51869604,-0.94939217,-0.519451857,-0.374431238,-0.446923718,-1.254341974,-1.217741518,-1.112511285
Q6NYT1,-1.871563017,-2.087790787,-2.148621619,-0.804605246,-1.400612175,-1.503892677,-1.003730437,-0.803929014
Q6NZS4,-0.555090159,-0.554123402,-0.462954223,-0.234772012,-0.423461527,-1.560423623,-1.337249765,-1.062625508
Q6P0V6,-0.354278892,-0.333019376,-0.402469948,-0.162616827,-0.257106937,-1.624828129,-1.246887488,-0.881528309
Q6PBY1,-0.414938301,-0.418087572,-0.432655126,-0.249594778,-0.351822078,-2.026930356,-1.729273008,-1.687058204
Q6PC69,-0.505117431,-0.469283909,-0.485128,-0.298183605,-0.406907484,-0.331307425,-0.234215755,-0.195717799
Q6PFQ2,-0.770199537,-0.689791918,-0.683142513,-0.392519295,-0.62960583,-1.228597881,-1.047601883,-0.875748136
Q6PHG4,-0.92017287,-0.913999051,-1.03548485,-0.711553782,-0.853193939,-1.459145521,-1.168726423,-1.08818442
Q6PI52,-0.163155198,-0.17096889,-0.125202209,-0.11653126,-0.135193266,-0.744219801,-0.616856891,-0.426624804
Q6TH15,-1.146194577,-0.539771944,-0.584801763,-0.196094163,-0.443717182,-1.786907038,-1.190482736,-0.932165968
Q7T010,-1.32807982,-1.312331676,-1.335929513,-1.078519404,-1.201288581,-1.597076239,-1.526972032,-1.514202246
Q7T2A5,-0.688301563,-0.658948511,-0.579971284,-0.231895469,-0.405767143,-0.80842253,-0.594442084,-0.439313486
Q7T310,-1.440483153,-1.477361143,-1.491694927,-1.275568128,-1.407762468,-1.139442472,-1.107295898,-0.991438383
Q7ZUX6,-1.105483711,-1.064149618,-1.063129187,-0.767976582,-0.891333103,-1.150826789,-0.930805278,-0.922562774
Q7ZV22,-0.789745182,-0.786561757,-0.770309925,-0.559104323,-0.709309995,-0.702884912,-0.604763261,-0.551812519
Q7ZV55,-1.059408247,-0.888547122,-0.988099664,-0.506381392,-0.780660689,-0.988153461,-0.791722317,-0.739232845
Q7ZVF3,-0.581697822,-0.607487857,-0.550004214,-0.377570912,-0.543853283,-1.339723159,-1.116193031,-0.999777982
Q803X1,-0.899684608,-0.803097755,-0.850981534,-0.518512279,-0.794985861,-1.759074189,-1.566033806,-1.303447328
Q803Y4,-0.788386434,-2.463540554,-0.700811744,-0.600315154,-0.694405407,-2.323203623,-2.199905549,-2.286258453
Q8JGR4,-0.753134429,-0.763499558,-0.707828373,-0.451881453,-0.627770692,-0.367268467,-0.359033616,-0.321497081
Q8JGS9,-0.333495125,-0.329374835,-0.280624092,-0.200264201,-0.233808495,-1.624658222,-1.490208411,-1.423203396
Q9MIX8,-0.483792216,-0.489173919,-0.485520303,-0.412495285,-0.469792724,-1.870438634,-1.628851392,-1.59229908
Q9MIX9,-1.326146662,-1.31101191,-1.39931649,-1.199045539,-1.281380117,-1.60178508,-1.412210256,-1.320970793
Q9MIY0,-1.725168049,-1.74477917,-1.441294074,-1.566066623,-1.683292389,-1.714087298,-1.584425736,-1.531771551
Q9MIY1,-0.635651499,-0.589405537,-0.617582619,-0.470631704,-0.560980648,-1.423336234,-1.383841849,-1.087541701
Q9MIY2,-1.054732829,-2.741538644,-1.052065849,-0.850708455,-0.961379558,-1.272981953,-1.083680005,-1.017503685
Q9MIY3,-1.039871991,-2.383809447,-1.236006677,-0.903310716,-1.045015395,-1.433435458,-1.395231082,-1.270310142
Q9MIY4,-0.484743923,-0.470773637,-0.473093957,-0.376215771,-0.419968992,-1.220394062,-0.895857113,-0.749473851
Q9MIY5,-0.645322591,-0.63465637,-0.663516372,-0.544092566,-0.606702596,-0.925463292,-0.639398097,-0.560042692
Q9MIY6,-1.848193824,-3.030175447,-2.026331425,-1.399914086,-1.658662677,-1.463776045,-1.253712661,-1.178513271
Q9MIY7,-0.562549502,-0.541778296,-0.572766483,-0.442620859,-0.542165369,-1.062654483,-0.913195774,-0.77797787
Q9MIY9,-0.877508253,-0.858166397,-0.869225204,-0.734476209,-0.838669747,-1.165243396,-1.082940924,-1.09676499
Q9MIZ0,-0.801235676,-0.805621296,-0.825546443,-0.759945244,-0.766527116,-1.515723493,-1.287432117,-1.302744128
Q9PV90,-0.739051521,-0.736977845,-0.691880792,-0.541698724,-0.606618226,-0.433166748,-0.319470017,-0.203514633
A0JMD0,-0.880133003,-0.809001535,-0.829571605,-0.603266001,-0.70172298,-1.701851444,-1.458643518,-1.334990494
A1A5Z3,-1.997220159,-1.855441868,-2.065720201,-1.301752985,-1.908382893,-1.448190372,-1.361556419,-1.268999066
A3KNK7,-2.757555962,-2.745479226,-2.232422233,-0.616772175,-1.790415406,-0.683417306,-0.382581459,-0.321945687
A3KP74,-1.703845143,-1.734865904,-1.656731546,-1.195468783,-1.417979419,-1.226857674,-0.977113992,-1.015478333
Q08BY1,-2.819204688,-2.53354013,-2.129639626,-0.654444933,-2.122797787,-1.400309807,-0.772003968,-0.575037815
Q502C1,-2.22331214,-1.84243536,-2.682827353,-1.126876235,-1.424585938,-1.568430485,-1.036508674,-0.929873387
Q561X3,-2.075633049,-1.71948272,-1.837811768,-0.57935077,-1.39532882,-1.9695975,-0.878842463,-0.567574502
Q5SPH9,-1.939938247,-1.7638641,-1.934228539,-1.430686951,-1.706457376,-1.267288847,-1.224738512,-1.212487202
Q5SPJ8,-1.193923354,-0.967807978,-1.399339855,-0.45930329,-0.869183511,-0.962992241,-0.667123561,-0.607073648
Q5XIY4,-2.289034009,-2.686322331,-2.319439292,-1.188847661,-1.705119252,-1.306577934,-1.052456709,-1.147034864
Q6DBX1,-2.887128234,-2.831706405,-2.917370081,-0.871593922,-2.048831046,-1.349086141,-1.154329435,-0.995382698
Q6DC53,-2.054155469,-1.826092899,-2.202468038,-1.214084089,-1.741566598,-1.254517078,-0.934628314,-0.65799464
Q6DEN0,-0.735478282,-0.806299835,-0.83628872,-0.456806049,-0.60070768,-0.47646388,-0.397243479,-0.368619969
Q6DGI3,-2.343517303,-2.453213215,-2.430686116,-1.599954069,-2.137410402,-1.539112374,-1.358477272,-1.271224361
Q6DH26,-0.974867821,-0.887445956,-0.948585749,-0.643837661,-0.861959279,-0.591177718,-0.451477484,-0.347284526
Q6IQ63,-1.341413915,-1.20216018,-1.435626864,-0.855787903,-1.076563716,-2.629690237,-1.344771558,-1.249093679
Q6P0H6,-0.889986247,-0.687948763,-0.654399663,-0.23436632,-0.537525266,-0.501592779,-0.298440865,-0.201399136
Q6P2U9,-1.33062005,-1.146210253,-1.319139957,-0.222846568,-0.598565936,-1.46805746,-1.273412717,-1.130223614
Q6PC14,-0.246831857,-0.25558418,-0.266671434,-0.166722178,-0.276970528,-0.344682136,-0.17701869,-0.163714498
Q6ZM63,-0.821387708,-0.757651806,-0.950053692,-0.52255699,-0.759021163,-0.646451451,-0.615022921,-0.596358255
Q7SYE0,-1.523253977,-1.41681242,-1.433322132,-0.796415657,-1.267315447,-1.509055542,-1.053302313,-0.862410196
Q7T3B0,-2.1676054,-1.822228253,-1.62569207,-0.469375625,-1.034851223,-1.120654749,-0.552229057,-0.411380172
Q7T3H7,-2.841879368,-2.838804245,-2.832350492,-0.626153082,-2.319156647,-1.799708525,-1.478576376,-1.481082048
Q7ZTI5,-2.285187721,-1.999821246,-1.953354299,-0.5255716,-1.002036184,-1.351069507,-0.514972138,-0.490705213
Q7ZUG5,-0.85468483,-2.912212133,-0.867262483,-0.589286417,-0.68795687,-0.365836363,-0.299895279,-0.27606319
Q7ZV35,-1.471544087,-1.253545761,-1.283190191,-0.86612004,-1.135771513,-0.864580942,-0.770577187,-0.729666285
Q7ZW24,-1.130281568,-1.13254714,-1.173724532,-0.708935112,-0.998591244,-1.179791549,-1.004427696,-0.85571696
Q7ZWE7,-2.085168839,-2.125545859,-2.096381307,-1.702741086,-2.056129932,-1.785573372,-1.575801575,-1.524119067
Q9DGK4,-1.31542176,-1.333753347,-1.176855505,-0.593026757,-1.094073355,-2.713802939,-1.001406149,-1.050330173
P00356,-0.308750644,-0.285496339,-0.310286596,-0.14239683,-0.221259288,-1.152066953,-1.036022221,-0.913950887
P00940,-0.626466125,-0.663264692,-0.62823078,-0.308766633,-0.498102352,-0.744454701,-0.729510506,-0.604686947
P02822,-2.529716253,-2.736422062,-2.56344676,-1.720177293,-2.294463933,-1.95455127,-1.3562166,-1.230185399
P16580,-0.69454056,-0.621151388,-0.665261567,-0.304547653,-0.573616266,-1.620031174,-1.260660381,-1.023780566
P18946,-0.423491433,-0.416603968,-0.40582636,-0.260720149,-0.37387836,-1.850400642,-1.668195338,-1.598811621
P62801,-0.147877805,-0.198441766,-0.190149724,-0.156291172,-0.167380556,-1.787367648,-1.325070715,-1.066769394
P63247,-0.208546922,-0.142826624,-0.208928667,-0.09216385,-0.116322871,-1.145014694,-0.389918881,-0.204270765
P67881,-0.552872092,-0.942473352,-0.525696695,-0.470551953,-0.489510447,-1.226951181,-1.221992991,-1.171118649
P80566,-1.052444041,-1.030931652,-1.083770037,-0.558767885,-0.83106333,-1.108025727,-0.980182251,-0.984398582
P84247,-0.169377066,-0.164563306,-0.171084493,-0.124029242,-0.153557993,-1.550915882,-1.264100893,-1.140920472
Q90593,-0.43767412,-0.425630495,-0.396389648,-0.192139558,-0.283077329,-1.137965064,-1.002307819,-1.055682574
Q9YHT1,-0.577799439,-0.569650024,-0.5567137,-0.338588506,-0.481635824,-1.348672363,-1.114353598,-0.936071069
F1NLH9,-0.739989012,-0.706481576,-0.728557348,-0.443568483,-0.595665127,-1.214941761,-1.002126779,-1.011915331
P18943,-0.3907343,-0.374793917,-0.404211044,-0.23156824,-0.329330683,-1.681538893,-1.643925922,-1.682455865
P18944,-0.874369472,-0.936990172,-0.936414927,-0.427284062,-0.641768962,-1.137909195,-1.042884939,-0.921983859
P22451,-0.386938557,-0.375757918,-0.430551827,-0.260395199,-0.357809246,-1.448896597,-0.968302688,-0.871724125
P35431,-1.732476234,-1.608992755,-1.659201801,-0.9358446,-1.232648551,-0.855322128,-0.303208413,-0.205923505
P50141,-0.82446,-0.811825782,-0.909057289,-0.589859039,-0.725865811,-1.495851723,-1.41559674,-1.162531121
P50890,-0.292655349,-0.256584793,-0.225609049,-0.163297586,-0.264795437,-1.781907196,-1.53477674,-1.379616279
Q5ZL43,-1.156127691,-0.990280449,-1.089961708,-0.444805652,-0.721212924,-0.82805349,-0.706425254,-0.587881985
Q5ZLC5,-0.46086885,-0.485153168,-0.48756434,-0.350685656,-0.416753411,-1.998325888,-1.907276837,-1.876673257
Q5ZLN4,-0.961974919,-0.859223425,-0.903459549,-0.486508787,-0.72260195,-1.454655926,-1.271057244,-1.096943806
Q6IVA4,-0.974842727,-0.913225234,-0.883673519,-0.535324991,-0.732762575,-1.67498688,-1.430932074,-1.27145378
Q90647,-0.631303191,-0.572032064,-0.543019116,-0.340325877,-0.50409773,-1.786511183,-1.544094878,-1.44837358
Q90705,-0.329661444,-0.242279649,-0.367336169,-0.110463835,-0.187095016,-1.56634283,-1.347037575,-1.127710825
Q9DEA3,-0.71986255,-0.775722325,-0.703033179,-0.278114468,-0.568278581,-1.217500768,-1.108713429,-0.963174726
E1C6F0,-0.525745392,-0.535935491,-0.589830279,-0.194966838,-0.344204038,-0.674560345,-0.089475583,-0.051271074
O13270,-0.48842153,-0.516016155,-0.401062034,-0.195597522,-0.350934908,-1.393193524,-1.360092976,-1.29352321
P14092,-0.731233835,-0.670060098,-0.738449216,-0.451398432,-0.67900148,-0.84375958,-0.618861316,-0.490626146
P14093,-1.282640636,-2.863035202,-1.709460855,-1.134296596,-1.29227525,-1.286590586,-1.156708788,-1.135907528
P18936,-0.595033169,-0.584028035,-0.544617057,-0.379746467,-0.474009708,-1.385704428,-1.221329871,-1.185117223
P18937,-0.679378897,-0.71638456,-0.667673588,-0.598968744,-0.661694258,-0.74754901,-0.681038242,-0.674951174
P18938,-0.875999123,-2.118896365,-0.793690622,-0.76226753,-0.822198957,-1.310998037,-1.172322804,-1.146034989
P18939,-0.69587931,-0.632911563,-0.577942431,-0.474616885,-0.585189402,-1.417003815,-1.31885824,-1.181292384
P18940,-1.517882347,-1.482351959,-0.717022479,-1.289726734,-1.411200225,-1.511728565,-1.267378576,-1.128889101
P18941,-0.813954979,-0.819604248,-0.783090591,-0.638957024,-0.758079976,-1.436833715,-1.334828481,-1.139906302
P18942,-1.051816165,-2.78864193,-1.222607791,-0.718502134,-1.032395929,-1.435685881,-1.120256394,-0.990020503
P18945,-0.655555487,-0.666377991,-0.699463576,-0.414468586,-0.612895161,-1.24910502,-0.976684248,-0.832568553
P28497,-0.308389872,-0.325496748,-0.403129116,-0.109208971,-0.244679525,-0.385312668,-0.32227498,-0.259497355
P28687,-1.395285666,-1.299685955,-1.462757468,-0.561241522,-1.106923431,-0.596152621,-0.441223312,-0.399710759
P43347,-0.868040591,-0.989498109,-0.861529529,-0.50539732,-0.650977403,-2.789571798,-1.23771974,-1.319664109
P47826,-0.355357662,-0.345313013,-0.343275458,-0.226022914,-0.266090609,-0.257955316,-0.219546895,-0.187173339
P47838,-0.257619619,-0.277599871,-0.26569289,-0.181334667,-0.22543852,-2.095341021,-1.257153743,-1.041785107
P51903,-0.462680101,-0.446364775,-0.556599051,-0.313609108,-0.373811573,-0.872912382,-0.648124734,-0.580726849
P62149,-0.163155198,-0.17096889,-0.125202209,-0.11653126,-0.135193266,-0.744219801,-0.616856891,-0.426624804
P62846,-0.246031664,-0.26682514,-0.279441625,-0.121192183,-0.192605346,-2.519601481,-1.589588501,-1.479541843
Q08200,-0.412341639,-0.452160105,-0.509163395,-0.33670786,-0.439031705,-0.32728756,-0.238325459,-0.27862744
Q5F380,-1.09790206,-0.988016218,-1.048074841,-0.697040886,-0.884489298,-1.090631604,-0.98872888,-0.927393879
Q5ZHX9,-0.840306997,-0.829678893,-0.822356999,-0.620216161,-0.69895497,-1.666927784,-1.434676992,-1.394240582
Q5ZID1,-2.807042718,-2.487208009,-2.037116051,-0.438218608,-1.850146949,-1.208687033,-0.563505279,-0.335624458
Q5ZIG2,-1.253048301,-1.120303154,-1.059759021,-0.612144589,-0.888976097,-1.57055867,-1.286735729,-1.064256698
Q5ZIP3,-0.947736442,-0.957848281,-0.882250667,-0.528544158,-0.765562028,-0.95066274,-0.757373311,-0.749879157
Q5ZJ23,-0.869690567,-0.869117796,-0.927728951,-0.641139299,-0.782097459,-1.617896203,-1.244072971,-0.918875748
Q5ZJ56,-0.787181586,-0.713042051,-0.681581616,-0.483612493,-0.690415531,-0.971449441,-0.871501568,-0.826782771
Q5ZJF1,-1.260462403,-1.067346036,-1.223551929,-0.125672776,-0.451893941,-1.496885124,-1.305740133,-1.152286493
Q5ZKA4,-1.063134313,-0.978755176,-1.009708256,-0.541228205,-0.768484443,-0.630718518,-0.393533595,-0.257326896
Q5ZKI2,-1.747686684,-1.58957094,-1.86953038,-0.725304961,-1.277951002,-1.039464527,-0.791707646,-0.599564152
Q5ZKR5,-1.197093606,-1.160873771,-1.236530185,-0.725542843,-1.023453742,-2.198255489,-2.020951392,-1.680198308
Q5ZLA5,-0.478550479,-0.544544026,-0.498034641,-0.188249379,-0.359602451,-0.41178252,-0.135086486,-0.148463949
Q5ZLE6,-1.281488657,-1.134364605,-0.901664734,-0.282792464,-0.457747132,-1.463087708,-1.355889069,-1.359704818
Q5ZLP2,-0.724128693,-0.643001854,-0.719195664,-0.515259311,-0.540610135,-0.536402493,-0.475113296,-0.359050864
Q5ZMD6,-0.253698528,-0.273279592,-0.241168536,-0.182350144,-0.208330676,-1.699215009,-1.343361748,-0.904204816
Q6ITC7,-0.25257612,-0.222473405,-0.216379337,-0.147958964,-0.239319786,-1.623304436,-1.096589315,-0.857827673
Q800L3,-1.254850984,-1.171637237,-1.288280964,-0.754975826,-1.112211108,-1.066884773,-0.883511106,-0.601617117
Q90WD0,-0.13369216,-0.164806567,-0.145453032,-0.070262205,-0.202195458,-0.115007607,-0.076278888,-0.061226829
P08636,-0.233181387,-0.239196651,-0.347475812,-0.167357609,-0.248666182,-0.022308721,-0.023210093,-0.017650908
P47836,-0.194034718,-0.136367902,-0.171665452,-0.096952561,-0.150302894,-1.05614888,-0.695450909,-0.549265001
P51417,-0.409477502,-0.330224484,-0.38997519,-0.226204924,-0.351364926,-0.187644168,-0.143238793,-0.119504618
P67883,-0.333116472,-0.913116276,-0.3974583,-0.229476839,-0.26264292,-0.904764566,-0.172990063,-0.131988481
Q5F428,-0.699942827,-0.636248738,-0.549255788,-0.137322333,-0.366988704,-0.685264352,-0.408653823,-0.156636524
Q5ZJ64,-2.070970476,-1.710484743,-1.496786714,-0.302332535,-0.873604655,-1.046250241,-0.322810938,-0.229218555
Q5ZKY9,-2.721535802,-2.685937405,-2.910740614,-0.474054664,-1.328264117,-0.43874051,-0.32662134,-0.272558106
Q5ZMK7,-0.559628606,-2.332690477,-0.520090282,-0.39450334,-0.429771945,-2.296524939,-2.159866897,-2.285989445
Q98TF5,-0.633764863,-2.264007568,-0.521395564,-0.450427622,-0.572082981,-2.711511226,-2.733144016,-2.534312475
Q98TF7,-0.353712216,-0.594304651,-0.45324254,-0.228156812,-0.261112809,-0.909228951,-0.594582005,-0.668543005
P9WGE9,-1.597088575,-1.499974728,-1.425145268,-1.071308017,-1.260341585,-1.556032595,-1.300289597,-1.121836125
P9WI55,-0.858295262,-0.81766209,-0.751409709,-0.568227828,-0.72366932,-1.098152279,-0.944588351,-0.854313252
P9WK19,-0.930003434,-0.938386142,-0.758632094,-0.647744387,-0.862064749,-1.443883791,-1.422922529,-1.410033587
P9WMS7,-0.714608639,-0.679124236,-0.496664986,-0.456572741,-0.586479306,-1.256428349,-1.149646943,-1.106621123
P9WN39,-0.824036002,-0.803647399,-0.634723425,-0.581615329,-0.695829481,-1.267333171,-1.072732962,-0.992206643
P9WN69,-0.591270298,-0.584738165,-0.427373782,-0.097263701,-0.30037307,-1.026750504,-0.944740074,-0.822122855
P9WN83,-0.765709817,-0.792157203,-0.488063395,-0.480166018,-0.660778612,-1.217152411,-1.141086079,-1.093398085
O06401,-1.128053784,-1.170451939,-1.086106241,-0.684240311,-1.019561529,-1.177981719,-0.702680073,-0.193056193
P9WN37,-0.869975477,-0.78856644,-0.643324226,-0.541735649,-0.743613005,-1.132609638,-0.735239172,-0.370355181
P9WNL1,-0.74475652,-0.742516994,-0.574241519,-0.558070153,-0.674965769,-1.045153419,-0.992145661,-0.963513323
P9WNS5,-1.104640841,-1.030832052,-0.77336973,-0.567961276,-0.850962192,-0.951679344,-0.713630891,-0.528122475
P9WP69,-1.338488817,-1.225930631,-0.791576743,-0.703459948,-0.951211929,-1.807546342,-1.418320982,-1.164172275
P9WFY9,-1.745846987,-1.75051266,-1.708656251,-1.437606752,-1.698512495,-1.604977757,-1.470653664,-1.196823572
P9WH37,-0.767371327,-0.769491613,-0.445633769,-0.419671521,-0.673086941,-1.285742531,-1.267540773,-1.237693548
P9WH61,-0.790103316,-0.907750666,-0.648501694,-0.649993926,-0.727324516,-1.229455254,-1.118535558,-1.009453324
P9WH63,-0.677833408,-0.788385808,-0.468308568,-0.470825329,-0.60608834,-1.884389348,-1.591379906,-1.58382671
P9WH65,-0.909186482,-0.911659747,-0.683550477,-0.697470278,-0.814093083,-0.915452131,-0.950785313,-0.850024858
P9WH67,-0.870166212,-1.425378263,-0.532212824,-0.539473787,-0.683087319,-1.093931714,-0.902122512,-0.766325972
